Time,Names,Frame_idx,Bboxes,Emotion
7.64,"['Unknown', 'Unknown']",191,"[[0.6724604606628418, 0.3150241613388062, 0.7888951301574707, 0.5913175582885742], [0.3033915996551514, 0.017477303743362427, 0.5432010173797608, 0.6024073600769043]]","[['celebration', 'happy', 'fun', 'holiday', 'birthday', 'fantasy'], ['love', 'erotic', 'danger', 'violence', 'criminal', 'fear']]"
8.04,"['Unknown']",201,"[[0.6610508441925049, 0.29303884506225586, 0.779011344909668, 0.5919905662536621]]","[['celebration', 'birthday', 'fun', 'holiday', 'happy', 'gift']]"
8.24,"['Unknown']",206,"[[0.6483355522155761, 0.27732138633728026, 0.7736238956451416, 0.5940918922424316]]","[['funny', 'fantasy', 'fun', 'crazy', 'halloween', 'weird']]"
8.44,"['Unknown', 'Unknown']",211,"[[0.637561559677124, 0.26105780601501466, 0.764970350265503, 0.5795516967773438], [0.25252795219421387, -0.021621733903884888, 0.5139670372009277, 0.558674430847168]]","[['funny', 'crazy', 'fun', 'weird', 'fantasy', 'mad'], ['violence', 'criminal', 'corruption', 'death', 'murder', 'dreads']]"
8.64,"['Son Tung', 'Unknown']",216,"[[0.6234689712524414, 0.26548993587493896, 0.7482329368591308, 0.5712257385253906], [0.2513565540313721, -0.01207047700881958, 0.5106815338134766, 0.5488387107849121]]","[['funny', 'celebration', 'crazy', 'fun', 'surprise', 'holiday'], ['violence', 'corruption', 'murder', 'death', 'criminal', 'faithful']]"
9.04,"['Unknown']",226,"[[0.6394780158996582, -0.041479095816612244, 0.8524690628051758, 0.49272985458374025]]","[['glow', 'love', 'mystery', 'addiction', 'fun', 'happy']]"
9.24,"['Unknown']",231,"[[0.6575960636138916, -0.045094892382621765, 0.8719038009643555, 0.5135612964630127]]","[['mystery', 'glow', 'fantasy', 'love', 'mysterious', 'faith']]"
9.44,"['Unknown']",236,"[[0.6802717208862304, -0.04425390064716339, 0.8734761238098144, 0.49228248596191404]]","[['mystery', 'fantasy', 'glow', 'mysterious', 'love', 'faith']]"
9.64,"['Unknown', 'Unknown']",241,"[[0.2061305284500122, 0.0766340970993042, 0.39713144302368164, 0.5389545440673829], [0.6654362201690673, -0.04082447290420532, 0.8623435020446777, 0.5550513744354248]]","[['glow', 'mystery', 'horror', 'death', 'criminal', 'love'], ['love', 'happy', 'fun', 'alone', 'sad', 'sadness']]"
10.04,"['Unknown']",251,"[[0.6758881092071534, -0.059821903705596924, 0.88682861328125, 0.5868175506591797]]","[['mystery', 'glow', 'love', 'bothered', 'fantasy', 'erotic']]"
10.24,"['Unknown']",256,"[[0.6680165290832519, -0.04088863730430603, 0.8771418571472168, 0.6148130893707275]]","[['love', 'mystery', 'glow', 'fun', 'fantasy', 'nightmare']]"
10.44,"['Son Tung']",261,"[[0.3080905914306641, 0.2636895656585693, 0.4047667980194092, 0.5093900680541992]]","[['halloween', 'serious', 'evil', 'crazy', 'criminal', 'funny']]"
10.64,"['Son Tung']",266,"[[0.30639872550964353, 0.25976884365081787, 0.4010444164276123, 0.5064785480499268]]","[['protest', 'serious', 'pride', 'struggling', 'angry', 'criminal']]"
11.04,"['Unknown']",276,"[[0.3148485660552979, 0.25536158084869387, 0.4044456481933594, 0.48488988876342776]]","[['struggling', 'mad', 'angry', 'protest', 'serious', 'pride']]"
11.24,"['Son Tung']",281,"[[0.31609058380126953, 0.25519206523895266, 0.40961580276489257, 0.4940743923187256]]","[['mad', 'pride', 'protest', 'struggling', 'angry', 'crazy']]"
11.44,"['Unknown']",286,"[[0.31282877922058105, 0.26403710842132566, 0.4030933856964111, 0.4929031848907471]]","[['struggling', 'angry', 'criminal', 'serious', 'danger', 'evil']]"
11.64,"['Unknown']",291,"[[0.30388803482055665, 0.2575563907623291, 0.3963526487350464, 0.48177433013916016]]","[['pride', 'protest', 'struggling', 'war', 'criminal', 'violence']]"
12.04,"['Son Tung', 'Unknown']",301,"[[0.2510633707046509, 0.21101751327514648, 0.3480334758758545, 0.44965786933898927], [0.8746587753295898, 0.17968399524688722, 0.9856237411499024, 0.48747549057006834]]","[['fantasy', 'serious', 'war', 'halloween', 'struggling', 'evil'], ['problem', 'sad', 'care', 'disease', 'bothered', 'love']]"
12.24,"['Son Tung', 'Unknown', 'Unknown']",306,"[[0.23564038276672364, 0.19531469345092772, 0.3361797571182251, 0.4551705360412598], [0.8247793197631836, 0.19247424602508545, 0.9285151481628418, 0.49046802520751953], [0.9348970413208008, 0.2388766288757324, 0.9906126022338867, 0.3948044776916504]]","[['halloween', 'serious', 'war', 'fantasy', 'pride', 'struggling'], ['love', 'happy', 'care', 'sad', 'problem', 'disease'], ['success', 'sad', 'disease', 'problem', 'bothered', 'criminal']]"
12.44,"['Son Tung', 'Unknown', 'Unknown']",311,"[[0.2219494104385376, 0.19480072259902953, 0.3274048328399658, 0.4700150489807129], [0.7834037780761719, 0.18359689712524413, 0.8833337783813476, 0.47593374252319337], [0.9214380264282227, 0.24503114223480224, 0.9769848823547364, 0.38720462322235105]]","[['halloween', 'fantasy', 'evil', 'serious', 'mystery', 'horror'], ['happy', 'love', 'fun', 'smiling', 'sad', 'smile'], ['criminal', 'murder', 'faith', 'corruption', 'defense', 'punishment']]"
12.64,"['Unknown', 'Unknown', 'Son Tung']",316,"[[0.7622241020202637, 0.17633141279220582, 0.8528844833374023, 0.4682290554046631], [0.9216119766235351, 0.24437615871429444, 0.9751519203186035, 0.3810675621032715], [0.22454957962036132, 0.16498817205429078, 0.32907915115356445, 0.4517180919647217]]","[['happy', 'faithful', 'love', 'fun', 'smiling', 'celebration'], ['criminal', 'murder', 'corruption', 'suspect', 'danger', 'victim'], ['fantasy', 'halloween', 'mystery', 'mysterious', 'evil', 'horror']]"
